Apr 19 15:21:55 Overriding config with config/training_shakespeare_char_dropout0.0.py:
Apr 19 15:21:55 # Baseline configuration 
Apr 19 15:21:55 out_dir = 'out-shakespeare-dropout0.0' 
Apr 19 15:21:55 eval_interval = 250 
Apr 19 15:21:55 eval_iters = 200 
Apr 19 15:21:55 log_interval = 10 
Apr 19 15:21:55 always_save_checkpoint = False 
Apr 19 15:21:55 wandb_log = False 
Apr 19 15:21:55 wandb_project = 'nanoGPT-assignment' 
Apr 19 15:21:55 wandb_run_name = 'baseline' 
Apr 19 15:21:55 dataset = 'shakespeare_char' 
Apr 19 15:21:55 gradient_accumulation_steps = 1 
Apr 19 15:21:55 batch_size = 64 
Apr 19 15:21:55 block_size = 256 
Apr 19 15:21:55 n_layer = 6 
Apr 19 15:21:55 n_head = 6 
Apr 19 15:21:55 n_embd = 384 
Apr 19 15:21:55 dropout = 0.0
Apr 19 15:21:55 learning_rate = 1e-3 
Apr 19 15:21:55 max_iters = 5000 
Apr 19 15:21:55 lr_decay_iters = 5000 
Apr 19 15:21:55 min_lr = 1e-4 
Apr 19 15:21:55 beta2 = 0.99 
Apr 19 15:21:55 warmup_iters = 100 
Apr 19 15:21:55 weight_decay = 1e-1 
Apr 19 15:21:55 device = 'cuda' # change to 'cuda' if you have a GPU 
Apr 19 15:21:55 compile = True # set True only on Linux with GPU
Apr 19 15:21:55 tokens per iteration will be: 16,384
Apr 19 15:21:55 found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Apr 19 15:21:55 Initializing a new model from scratch
Apr 19 15:21:56 number of parameters: 10.65M
Apr 19 15:21:56 num decayed parameter tensors: 26, with 10,740,096 parameters
Apr 19 15:21:56 num non-decayed parameter tensors: 13, with 4,992 parameters
Apr 19 15:21:57 using fused AdamW: True
Apr 19 15:21:57 compiling the model... (takes a ~minute)
Apr 19 15:23:21 step 0: train loss 4.2874, val loss 4.2823
Apr 19 15:23:26 iter 0: loss 4.2864, time 86996.27ms, mfu -100.00%
Apr 19 15:23:31 iter 10: loss 3.0334, time 579.55ms, mfu 0.64%
Apr 19 15:23:37 iter 20: loss 2.6592, time 579.47ms, mfu 0.64%
Apr 19 15:23:43 iter 30: loss 2.5844, time 580.64ms, mfu 0.64%
Apr 19 15:23:49 iter 40: loss 2.5337, time 580.92ms, mfu 0.64%
Apr 19 15:23:55 iter 50: loss 2.4943, time 580.80ms, mfu 0.64%
Apr 19 15:24:00 iter 60: loss 2.4760, time 582.72ms, mfu 0.64%
Apr 19 15:24:06 iter 70: loss 2.4579, time 581.10ms, mfu 0.64%
Apr 19 15:24:12 iter 80: loss 2.4656, time 582.62ms, mfu 0.64%
Apr 19 15:24:18 iter 90: loss 2.4294, time 580.69ms, mfu 0.64%
Apr 19 15:24:24 iter 100: loss 2.4083, time 581.90ms, mfu 0.64%
Apr 19 15:24:30 iter 110: loss 2.3971, time 581.93ms, mfu 0.64%
Apr 19 15:24:35 iter 120: loss 2.3572, time 582.59ms, mfu 0.64%
Apr 19 15:24:41 iter 130: loss 2.3127, time 582.28ms, mfu 0.64%
Apr 19 15:24:47 iter 140: loss 2.2861, time 583.46ms, mfu 0.64%
Apr 19 15:24:53 iter 150: loss 2.2518, time 583.43ms, mfu 0.64%
Apr 19 15:24:59 iter 160: loss 2.1658, time 583.40ms, mfu 0.64%
Apr 19 15:25:05 iter 170: loss 2.1343, time 583.53ms, mfu 0.64%
Apr 19 15:25:10 iter 180: loss 2.0588, time 585.19ms, mfu 0.64%
Apr 19 15:25:16 iter 190: loss 2.0097, time 585.70ms, mfu 0.64%
Apr 19 15:25:22 iter 200: loss 1.9576, time 583.66ms, mfu 0.64%
Apr 19 15:25:28 iter 210: loss 1.9056, time 583.92ms, mfu 0.64%
Apr 19 15:25:34 iter 220: loss 1.8916, time 583.17ms, mfu 0.64%
Apr 19 15:25:40 iter 230: loss 1.8235, time 584.51ms, mfu 0.64%
Apr 19 15:25:45 iter 240: loss 1.8316, time 584.79ms, mfu 0.64%
Apr 19 15:27:15 step 250: train loss 1.7879, val loss 1.9244
Apr 19 15:27:15 saving checkpoint to out-shakespeare-dropout0.0
Apr 19 15:27:16 iter 250: loss 1.7944, time 85647.84ms, mfu 0.58%
Apr 19 15:27:22 iter 260: loss 1.7279, time 587.22ms, mfu 0.58%
Apr 19 15:27:28 iter 270: loss 1.7273, time 586.98ms, mfu 0.59%
Apr 19 15:27:33 iter 280: loss 1.7295, time 586.21ms, mfu 0.59%
Apr 19 15:27:39 iter 290: loss 1.6719, time 586.24ms, mfu 0.60%
Apr 19 15:27:45 iter 300: loss 1.6507, time 586.06ms, mfu 0.60%
Apr 19 15:27:51 iter 310: loss 1.6169, time 586.37ms, mfu 0.60%
Apr 19 15:27:57 iter 320: loss 1.6095, time 587.07ms, mfu 0.61%
Apr 19 15:28:03 iter 330: loss 1.5785, time 586.03ms, mfu 0.61%
Apr 19 15:28:09 iter 340: loss 1.5527, time 586.45ms, mfu 0.61%
