Apr 18 15:28:27 Overriding config with config/training_shakespeare_char_n_layer8.py:
Apr 18 15:28:27 # Baseline configuration 
Apr 18 15:28:27 out_dir = 'out-shakespeare-n_layer8' 
Apr 18 15:28:27 eval_interval = 250 
Apr 18 15:28:27 eval_iters = 200 
Apr 18 15:28:27 log_interval = 10 
Apr 18 15:28:27 always_save_checkpoint = False 
Apr 18 15:28:27 wandb_log = False 
Apr 18 15:28:27 wandb_project = 'nanoGPT-assignment' 
Apr 18 15:28:27 wandb_run_name = 'baseline' 
Apr 18 15:28:27 dataset = 'shakespeare_char' 
Apr 18 15:28:27 gradient_accumulation_steps = 1 
Apr 18 15:28:27 batch_size = 64 
Apr 18 15:28:27 block_size = 256 
Apr 18 15:28:27 n_layer = 8 
Apr 18 15:28:27 n_head = 6 
Apr 18 15:28:27 n_embd = 384 
Apr 18 15:28:27 dropout = 0.2 
Apr 18 15:28:27 learning_rate = 1e-3 
Apr 18 15:28:27 max_iters = 5000 
Apr 18 15:28:27 lr_decay_iters = 5000 
Apr 18 15:28:27 min_lr = 1e-4 
Apr 18 15:28:27 beta2 = 0.99 
Apr 18 15:28:27 warmup_iters = 100 
Apr 18 15:28:27 weight_decay = 1e-1 
Apr 18 15:28:27 device = 'cuda' # change to 'cuda' if you have a GPU 
Apr 18 15:28:27 compile = True # set True only on Linux with GPU
Apr 18 15:28:27 tokens per iteration will be: 16,384
Apr 18 15:28:27 found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Apr 18 15:28:27 Initializing a new model from scratch
Apr 18 15:28:28 number of parameters: 14.19M
Apr 18 15:28:28 num decayed parameter tensors: 34, with 14,279,040 parameters
Apr 18 15:28:28 num non-decayed parameter tensors: 17, with 6,528 parameters
Apr 18 15:28:28 using fused AdamW: True
Apr 18 15:28:28 compiling the model... (takes a ~minute)
Apr 18 15:30:11 step 0: train loss 4.3102, val loss 4.3031
Apr 18 15:30:15 iter 0: loss 4.2896, time 105931.80ms, mfu -100.00%
Apr 18 15:30:23 iter 10: loss 3.1376, time 781.51ms, mfu 0.64%
Apr 18 15:30:31 iter 20: loss 2.7495, time 781.47ms, mfu 0.64%
Apr 18 15:30:38 iter 30: loss 2.6224, time 782.39ms, mfu 0.64%
Apr 18 15:30:46 iter 40: loss 2.5521, time 782.50ms, mfu 0.64%
Apr 18 15:30:54 iter 50: loss 2.5089, time 781.98ms, mfu 0.64%
Apr 18 15:31:02 iter 60: loss 2.5245, time 782.96ms, mfu 0.64%
Apr 18 15:31:10 iter 70: loss 2.4822, time 783.08ms, mfu 0.64%
Apr 18 15:31:18 iter 80: loss 2.4659, time 784.50ms, mfu 0.63%
Apr 18 15:31:25 iter 90: loss 2.4768, time 783.30ms, mfu 0.63%
Apr 18 15:31:33 iter 100: loss 2.4610, time 783.29ms, mfu 0.63%
Apr 18 15:31:41 iter 110: loss 2.4537, time 782.82ms, mfu 0.63%
Apr 18 15:31:49 iter 120: loss 2.4476, time 783.09ms, mfu 0.63%
Apr 18 15:31:57 iter 130: loss 2.4255, time 783.06ms, mfu 0.63%
Apr 18 15:32:05 iter 140: loss 2.4002, time 784.13ms, mfu 0.63%
Apr 18 15:32:12 iter 150: loss 2.3845, time 783.61ms, mfu 0.63%
Apr 18 15:32:20 iter 160: loss 2.3636, time 784.08ms, mfu 0.63%
Apr 18 15:32:28 iter 170: loss 2.3153, time 784.15ms, mfu 0.63%
Apr 18 15:32:36 iter 180: loss 2.2882, time 784.27ms, mfu 0.63%
Apr 18 15:32:44 iter 190: loss 2.2737, time 783.69ms, mfu 0.63%
Apr 18 15:32:52 iter 200: loss 2.1935, time 784.54ms, mfu 0.63%
Apr 18 15:32:59 iter 210: loss 2.1664, time 784.85ms, mfu 0.63%
Apr 18 15:33:07 iter 220: loss 2.1326, time 784.28ms, mfu 0.63%
Apr 18 15:33:15 iter 230: loss 2.0966, time 784.34ms, mfu 0.63%
Apr 18 15:33:23 iter 240: loss 2.0635, time 785.10ms, mfu 0.63%
Apr 18 15:35:21 step 250: train loss 1.9707, val loss 2.0714
Apr 18 15:35:21 saving checkpoint to out-shakespeare-n_layer8
Apr 18 15:35:22 iter 250: loss 2.0130, time 112015.70ms, mfu 0.57%
Apr 18 15:35:30 iter 260: loss 2.0053, time 786.15ms, mfu 0.58%
Apr 18 15:35:37 iter 270: loss 1.9807, time 784.91ms, mfu 0.58%
Apr 18 15:35:45 iter 280: loss 1.9099, time 786.03ms, mfu 0.59%
Apr 18 15:35:53 iter 290: loss 1.9018, time 785.04ms, mfu 0.59%
Apr 18 15:36:01 iter 300: loss 1.9050, time 785.46ms, mfu 0.60%
Apr 18 15:36:09 iter 310: loss 1.8785, time 785.40ms, mfu 0.60%
Apr 18 15:36:17 iter 320: loss 1.8244, time 786.14ms, mfu 0.60%
Apr 18 15:36:25 iter 330: loss 1.8611, time 786.23ms, mfu 0.61%
Apr 18 15:36:32 iter 340: loss 1.8284, time 784.98ms, mfu 0.61%
Apr 18 15:36:40 iter 350: loss 1.8151, time 787.07ms, mfu 0.61%
Apr 18 15:36:48 iter 360: loss 1.8206, time 785.33ms, mfu 0.61%
Apr 18 15:36:56 iter 370: loss 1.7740, time 784.79ms, mfu 0.61%
Apr 18 15:37:04 iter 380: loss 1.7330, time 786.15ms, mfu 0.62%
Apr 18 15:37:12 iter 390: loss 1.7428, time 786.14ms, mfu 0.62%
Apr 18 15:37:20 iter 400: loss 1.7214, time 785.12ms, mfu 0.62%
Apr 18 15:37:27 iter 410: loss 1.7151, time 785.31ms, mfu 0.62%
Apr 18 15:37:35 iter 420: loss 1.6720, time 785.72ms, mfu 0.62%
Apr 18 15:37:43 iter 430: loss 1.6857, time 784.56ms, mfu 0.62%
Apr 18 15:37:51 iter 440: loss 1.6794, time 785.89ms, mfu 0.62%
Apr 18 15:37:59 iter 450: loss 1.6557, time 785.74ms, mfu 0.62%
Apr 18 15:38:07 iter 460: loss 1.6589, time 786.14ms, mfu 0.63%
Apr 18 15:38:15 iter 470: loss 1.5806, time 784.64ms, mfu 0.63%
Apr 18 15:38:22 iter 480: loss 1.6003, time 785.84ms, mfu 0.63%
Apr 18 15:38:30 iter 490: loss 1.5951, time 786.20ms, mfu 0.63%
Apr 18 15:40:28 step 500: train loss 1.5154, val loss 1.7042
Apr 18 15:40:28 saving checkpoint to out-shakespeare-n_layer8
Apr 18 15:40:29 iter 500: loss 1.6065, time 112032.91ms, mfu 0.56%
Apr 18 15:40:37 iter 510: loss 1.5661, time 783.54ms, mfu 0.57%
Apr 18 15:40:45 iter 520: loss 1.5806, time 782.69ms, mfu 0.58%
Apr 18 15:40:53 iter 530: loss 1.5564, time 783.30ms, mfu 0.58%
Apr 18 15:41:00 iter 540: loss 1.5596, time 783.63ms, mfu 0.59%
Apr 18 15:41:08 iter 550: loss 1.5597, time 783.35ms, mfu 0.59%
Apr 18 15:41:16 iter 560: loss 1.5431, time 783.66ms, mfu 0.60%
Apr 18 15:41:24 iter 570: loss 1.5427, time 783.88ms, mfu 0.60%
Apr 18 15:41:32 iter 580: loss 1.5523, time 784.25ms, mfu 0.60%
Apr 18 15:41:40 iter 590: loss 1.4919, time 786.40ms, mfu 0.61%
Apr 18 15:41:47 iter 600: loss 1.5270, time 784.83ms, mfu 0.61%
Apr 18 15:41:55 iter 610: loss 1.5195, time 784.28ms, mfu 0.61%
Apr 18 15:42:03 iter 620: loss 1.5117, time 785.02ms, mfu 0.61%
Apr 18 15:42:11 iter 630: loss 1.4479, time 785.20ms, mfu 0.62%
Apr 18 15:42:19 iter 640: loss 1.4633, time 785.57ms, mfu 0.62%
Apr 18 15:42:27 iter 650: loss 1.4703, time 785.97ms, mfu 0.62%
Apr 18 15:42:35 iter 660: loss 1.4607, time 785.57ms, mfu 0.62%
Apr 18 15:42:42 iter 670: loss 1.4455, time 785.59ms, mfu 0.62%
Apr 18 15:42:50 iter 680: loss 1.4305, time 785.63ms, mfu 0.62%
Apr 18 15:42:58 iter 690: loss 1.4534, time 784.82ms, mfu 0.62%
Apr 18 15:43:06 iter 700: loss 1.4810, time 786.52ms, mfu 0.62%
Apr 18 15:43:14 iter 710: loss 1.4459, time 784.30ms, mfu 0.63%
Apr 18 15:43:22 iter 720: loss 1.4341, time 786.82ms, mfu 0.63%
