Apr 18 17:12:37 Overriding config with config/training_shakespeare_char_block_size64.py:
Apr 18 17:12:37 # Baseline configuration 
Apr 18 17:12:37 out_dir = 'out-shakespeare-block_size64' 
Apr 18 17:12:37 eval_interval = 250 
Apr 18 17:12:37 eval_iters = 200 
Apr 18 17:12:37 log_interval = 10 
Apr 18 17:12:37 always_save_checkpoint = False 
Apr 18 17:12:37 wandb_log = False 
Apr 18 17:12:37 wandb_project = 'nanoGPT-assignment' 
Apr 18 17:12:37 wandb_run_name = 'baseline' 
Apr 18 17:12:37 dataset = 'shakespeare_char' 
Apr 18 17:12:37 gradient_accumulation_steps = 1 
Apr 18 17:12:37 batch_size = 64 
Apr 18 17:12:37 block_size = 64 
Apr 18 17:12:37 n_layer = 6 
Apr 18 17:12:37 n_head = 6 
Apr 18 17:12:37 n_embd = 384 
Apr 18 17:12:37 dropout = 0.2 
Apr 18 17:12:37 learning_rate = 1e-3 
Apr 18 17:12:37 max_iters = 5000 
Apr 18 17:12:37 lr_decay_iters = 5000 
Apr 18 17:12:37 min_lr = 1e-4 
Apr 18 17:12:37 beta2 = 0.99 
Apr 18 17:12:37 warmup_iters = 100 
Apr 18 17:12:37 weight_decay = 1e-1 
Apr 18 17:12:37 device = 'cuda' # change to 'cuda' if you have a GPU 
Apr 18 17:12:37 compile = True # set True only on Linux with GPU
Apr 18 17:12:37 tokens per iteration will be: 4,096
Apr 18 17:12:37 found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Apr 18 17:12:37 Initializing a new model from scratch
Apr 18 17:12:38 number of parameters: 10.65M
Apr 18 17:12:38 num decayed parameter tensors: 26, with 10,666,368 parameters
Apr 18 17:12:38 num non-decayed parameter tensors: 13, with 4,992 parameters
Apr 18 17:12:38 using fused AdamW: True
Apr 18 17:12:38 compiling the model... (takes a ~minute)
Apr 18 17:13:05 step 0: train loss 4.3225, val loss 4.3174
Apr 18 17:13:09 iter 0: loss 4.3057, time 29434.64ms, mfu -100.00%
Apr 18 17:13:10 iter 10: loss 3.2319, time 131.74ms, mfu 0.65%
Apr 18 17:13:11 iter 20: loss 2.8261, time 131.66ms, mfu 0.65%
Apr 18 17:13:12 iter 30: loss 2.6338, time 132.02ms, mfu 0.65%
Apr 18 17:13:14 iter 40: loss 2.5969, time 131.73ms, mfu 0.65%
Apr 18 17:13:15 iter 50: loss 2.5151, time 131.68ms, mfu 0.65%
Apr 18 17:13:16 iter 60: loss 2.5216, time 131.89ms, mfu 0.65%
Apr 18 17:13:18 iter 70: loss 2.4837, time 131.71ms, mfu 0.65%
Apr 18 17:13:19 iter 80: loss 2.4509, time 131.77ms, mfu 0.65%
Apr 18 17:13:20 iter 90: loss 2.4462, time 132.15ms, mfu 0.65%
Apr 18 17:13:22 iter 100: loss 2.4105, time 131.70ms, mfu 0.65%
Apr 18 17:13:23 iter 110: loss 2.3431, time 132.62ms, mfu 0.65%
Apr 18 17:13:24 iter 120: loss 2.3368, time 131.98ms, mfu 0.65%
Apr 18 17:13:26 iter 130: loss 2.2669, time 131.79ms, mfu 0.65%
Apr 18 17:13:27 iter 140: loss 2.2443, time 132.16ms, mfu 0.65%
Apr 18 17:13:28 iter 150: loss 2.1883, time 131.87ms, mfu 0.65%
Apr 18 17:13:30 iter 160: loss 2.1790, time 132.30ms, mfu 0.65%
Apr 18 17:13:31 iter 170: loss 2.2041, time 132.35ms, mfu 0.65%
Apr 18 17:13:32 iter 180: loss 2.1529, time 132.25ms, mfu 0.65%
Apr 18 17:13:34 iter 190: loss 2.1094, time 131.92ms, mfu 0.65%
Apr 18 17:13:35 iter 200: loss 2.1131, time 131.56ms, mfu 0.65%
Apr 18 17:13:36 iter 210: loss 2.1014, time 132.17ms, mfu 0.65%
Apr 18 17:13:38 iter 220: loss 2.1357, time 132.08ms, mfu 0.65%
Apr 18 17:13:39 iter 230: loss 2.1019, time 133.07ms, mfu 0.65%
Apr 18 17:13:40 iter 240: loss 2.0420, time 132.51ms, mfu 0.65%
Apr 18 17:14:00 step 250: train loss 1.9730, val loss 2.0668
Apr 18 17:14:00 saving checkpoint to out-shakespeare-block_size64
Apr 18 17:14:01 iter 250: loss 2.0240, time 19274.68ms, mfu 0.59%
Apr 18 17:14:02 iter 260: loss 2.0153, time 132.78ms, mfu 0.59%
Apr 18 17:14:03 iter 270: loss 2.0174, time 133.00ms, mfu 0.60%
Apr 18 17:14:05 iter 280: loss 1.9591, time 133.01ms, mfu 0.60%
Apr 18 17:14:06 iter 290: loss 2.0237, time 133.36ms, mfu 0.61%
Apr 18 17:14:07 iter 300: loss 1.9714, time 132.92ms, mfu 0.61%
Apr 18 17:14:09 iter 310: loss 1.9836, time 132.78ms, mfu 0.62%
Apr 18 17:14:10 iter 320: loss 1.9574, time 132.98ms, mfu 0.62%
Apr 18 17:14:11 iter 330: loss 1.9780, time 133.25ms, mfu 0.62%
Apr 18 17:14:13 iter 340: loss 1.9103, time 133.36ms, mfu 0.62%
Apr 18 17:14:14 iter 350: loss 1.9348, time 133.40ms, mfu 0.63%
Apr 18 17:14:15 iter 360: loss 1.9271, time 133.15ms, mfu 0.63%
Apr 18 17:14:17 iter 370: loss 1.9019, time 133.12ms, mfu 0.63%
Apr 18 17:14:18 iter 380: loss 1.9392, time 132.89ms, mfu 0.63%
Apr 18 17:14:19 iter 390: loss 1.9007, time 133.58ms, mfu 0.63%
Apr 18 17:14:21 iter 400: loss 1.8982, time 132.77ms, mfu 0.64%
Apr 18 17:14:22 iter 410: loss 1.8674, time 133.25ms, mfu 0.64%
Apr 18 17:14:23 iter 420: loss 1.9033, time 133.43ms, mfu 0.64%
Apr 18 17:14:25 iter 430: loss 1.8403, time 133.48ms, mfu 0.64%
Apr 18 17:14:26 iter 440: loss 1.8396, time 133.31ms, mfu 0.64%
Apr 18 17:14:27 iter 450: loss 1.8253, time 134.48ms, mfu 0.64%
Apr 18 17:14:29 iter 460: loss 1.8418, time 132.92ms, mfu 0.64%
Apr 18 17:14:30 iter 470: loss 1.8077, time 133.61ms, mfu 0.64%
Apr 18 17:14:31 iter 480: loss 1.8212, time 133.53ms, mfu 0.64%
Apr 18 17:14:33 iter 490: loss 1.8234, time 133.98ms, mfu 0.64%
Apr 18 17:14:53 step 500: train loss 1.7284, val loss 1.8845
Apr 18 17:14:53 saving checkpoint to out-shakespeare-block_size64
Apr 18 17:14:53 iter 500: loss 1.8220, time 19380.38ms, mfu 0.58%
Apr 18 17:14:54 iter 510: loss 1.7893, time 133.32ms, mfu 0.58%
Apr 18 17:14:56 iter 520: loss 1.8486, time 132.87ms, mfu 0.59%
Apr 18 17:14:57 iter 530: loss 1.7717, time 133.30ms, mfu 0.60%
Apr 18 17:14:58 iter 540: loss 1.8080, time 133.98ms, mfu 0.60%
Apr 18 17:15:00 iter 550: loss 1.7295, time 133.81ms, mfu 0.61%
Apr 18 17:15:01 iter 560: loss 1.7586, time 132.69ms, mfu 0.61%
Apr 18 17:15:02 iter 570: loss 1.7871, time 132.85ms, mfu 0.61%
Apr 18 17:15:04 iter 580: loss 1.7357, time 132.77ms, mfu 0.62%
Apr 18 17:15:05 iter 590: loss 1.7419, time 133.21ms, mfu 0.62%
Apr 18 17:15:06 iter 600: loss 1.8031, time 132.93ms, mfu 0.62%
Apr 18 17:15:08 iter 610: loss 1.7190, time 133.48ms, mfu 0.63%
Apr 18 17:15:09 iter 620: loss 1.7329, time 133.81ms, mfu 0.63%
Apr 18 17:15:10 iter 630: loss 1.6611, time 132.81ms, mfu 0.63%
Apr 18 17:15:12 iter 640: loss 1.7392, time 133.13ms, mfu 0.63%
Apr 18 17:15:13 iter 650: loss 1.7375, time 133.84ms, mfu 0.63%
Apr 18 17:15:14 iter 660: loss 1.7690, time 133.42ms, mfu 0.63%
Apr 18 17:15:16 iter 670: loss 1.6793, time 132.90ms, mfu 0.64%
Apr 18 17:15:17 iter 680: loss 1.7403, time 132.92ms, mfu 0.64%
Apr 18 17:15:18 iter 690: loss 1.7233, time 132.76ms, mfu 0.64%
Apr 18 17:15:20 iter 700: loss 1.7259, time 133.17ms, mfu 0.64%
Apr 18 17:15:21 iter 710: loss 1.6882, time 133.03ms, mfu 0.64%
Apr 18 17:15:22 iter 720: loss 1.6917, time 132.88ms, mfu 0.64%
Apr 18 17:15:24 iter 730: loss 1.6531, time 133.53ms, mfu 0.64%
Apr 18 17:15:25 iter 740: loss 1.7150, time 133.04ms, mfu 0.64%
Apr 18 17:15:45 step 750: train loss 1.6058, val loss 1.7879
Apr 18 17:15:45 saving checkpoint to out-shakespeare-block_size64
Apr 18 17:15:45 iter 750: loss 1.7358, time 19371.30ms, mfu 0.58%
Apr 18 17:15:47 iter 760: loss 1.6886, time 132.93ms, mfu 0.59%
Apr 18 17:15:48 iter 770: loss 1.6742, time 133.46ms, mfu 0.59%
Apr 18 17:15:49 iter 780: loss 1.6824, time 133.51ms, mfu 0.60%
Apr 18 17:15:51 iter 790: loss 1.6855, time 133.65ms, mfu 0.60%
Apr 18 17:15:52 iter 800: loss 1.6575, time 132.91ms, mfu 0.61%
Apr 18 17:15:53 iter 810: loss 1.6776, time 133.61ms, mfu 0.61%
Apr 18 17:15:55 iter 820: loss 1.6879, time 132.81ms, mfu 0.61%
Apr 18 17:15:56 iter 830: loss 1.6666, time 133.62ms, mfu 0.62%
Apr 18 17:15:57 iter 840: loss 1.6029, time 133.61ms, mfu 0.62%
Apr 18 17:15:59 iter 850: loss 1.6511, time 132.97ms, mfu 0.62%
Apr 18 17:16:00 iter 860: loss 1.6640, time 132.43ms, mfu 0.63%
Apr 18 17:16:01 iter 870: loss 1.6274, time 133.70ms, mfu 0.63%
Apr 18 17:16:03 iter 880: loss 1.6602, time 133.24ms, mfu 0.63%
Apr 18 17:16:04 iter 890: loss 1.5990, time 133.56ms, mfu 0.63%
Apr 18 17:16:05 iter 900: loss 1.5860, time 133.37ms, mfu 0.63%
Apr 18 17:16:07 iter 910: loss 1.6750, time 133.51ms, mfu 0.63%
Apr 18 17:16:08 iter 920: loss 1.6297, time 133.45ms, mfu 0.63%
Apr 18 17:16:09 iter 930: loss 1.5929, time 133.12ms, mfu 0.64%
Apr 18 17:16:11 iter 940: loss 1.5847, time 133.68ms, mfu 0.64%
Apr 18 17:16:12 iter 950: loss 1.6014, time 133.69ms, mfu 0.64%
Apr 18 17:16:13 iter 960: loss 1.5930, time 132.95ms, mfu 0.64%
Apr 18 17:16:15 iter 970: loss 1.5787, time 133.34ms, mfu 0.64%
Apr 18 17:16:16 iter 980: loss 1.5670, time 132.79ms, mfu 0.64%
Apr 18 17:16:17 iter 990: loss 1.5615, time 133.07ms, mfu 0.64%
Apr 18 17:16:38 step 1000: train loss 1.5200, val loss 1.7189
Apr 18 17:16:38 saving checkpoint to out-shakespeare-block_size64
Apr 18 17:16:38 iter 1000: loss 1.6209, time 19368.68ms, mfu 0.58%
Apr 18 17:16:39 iter 1010: loss 1.5749, time 133.41ms, mfu 0.58%
Apr 18 17:16:41 iter 1020: loss 1.5668, time 133.36ms, mfu 0.59%
Apr 18 17:16:42 iter 1030: loss 1.6034, time 133.74ms, mfu 0.60%
Apr 18 17:16:43 iter 1040: loss 1.6445, time 133.36ms, mfu 0.60%
Apr 18 17:16:45 iter 1050: loss 1.6233, time 133.11ms, mfu 0.61%
Apr 18 17:16:46 iter 1060: loss 1.6043, time 132.76ms, mfu 0.61%
Apr 18 17:16:47 iter 1070: loss 1.5917, time 133.45ms, mfu 0.61%
Apr 18 17:16:49 iter 1080: loss 1.5827, time 133.37ms, mfu 0.62%
Apr 18 17:16:50 iter 1090: loss 1.5551, time 133.79ms, mfu 0.62%
Apr 18 17:16:51 iter 1100: loss 1.6009, time 133.34ms, mfu 0.62%
Apr 18 17:16:53 iter 1110: loss 1.5773, time 133.18ms, mfu 0.62%
Apr 18 17:16:54 iter 1120: loss 1.5278, time 133.23ms, mfu 0.63%
Apr 18 17:16:55 iter 1130: loss 1.5890, time 133.14ms, mfu 0.63%
Apr 18 17:16:57 iter 1140: loss 1.5722, time 133.20ms, mfu 0.63%
Apr 18 17:16:58 iter 1150: loss 1.5156, time 133.47ms, mfu 0.63%
Apr 18 17:16:59 iter 1160: loss 1.5967, time 133.54ms, mfu 0.63%
Apr 18 17:17:01 iter 1170: loss 1.5403, time 133.19ms, mfu 0.63%
Apr 18 17:17:02 iter 1180: loss 1.5597, time 133.76ms, mfu 0.64%
Apr 18 17:17:03 iter 1190: loss 1.5654, time 133.18ms, mfu 0.64%
Apr 18 17:17:05 iter 1200: loss 1.5240, time 133.25ms, mfu 0.64%
Apr 18 17:17:06 iter 1210: loss 1.5373, time 133.80ms, mfu 0.64%
