Apr 18 15:01:40 Overriding config with config/training_shakespeare_char_n_layer2.py:
Apr 18 15:01:40 # Baseline configuration 
Apr 18 15:01:40 out_dir = 'out-shakespeare-n_layer2' 
Apr 18 15:01:40 eval_interval = 250 
Apr 18 15:01:40 eval_iters = 200 
Apr 18 15:01:40 log_interval = 10 
Apr 18 15:01:40 always_save_checkpoint = False 
Apr 18 15:01:40 wandb_log = False 
Apr 18 15:01:40 wandb_project = 'nanoGPT-assignment' 
Apr 18 15:01:40 wandb_run_name = 'baseline' 
Apr 18 15:01:40 dataset = 'shakespeare_char' 
Apr 18 15:01:40 gradient_accumulation_steps = 1 
Apr 18 15:01:40 batch_size = 64 
Apr 18 15:01:40 block_size = 256 
Apr 18 15:01:40 n_layer = 2 
Apr 18 15:01:40 n_head = 6 
Apr 18 15:01:40 n_embd = 384 
Apr 18 15:01:40 dropout = 0.2 
Apr 18 15:01:40 learning_rate = 1e-3 
Apr 18 15:01:40 max_iters = 5000 
Apr 18 15:01:40 lr_decay_iters = 5000 
Apr 18 15:01:40 min_lr = 1e-4 
Apr 18 15:01:40 beta2 = 0.99 
Apr 18 15:01:40 warmup_iters = 100 
Apr 18 15:01:40 weight_decay = 1e-1 
Apr 18 15:01:40 device = 'cuda' # change to 'cuda' if you have a GPU 
Apr 18 15:01:40 compile = True # set True only on Linux with GPU
Apr 18 15:01:40 tokens per iteration will be: 16,384
Apr 18 15:01:40 found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Apr 18 15:01:40 Initializing a new model from scratch
Apr 18 15:01:40 number of parameters: 3.57M
Apr 18 15:01:40 num decayed parameter tensors: 10, with 3,662,208 parameters
Apr 18 15:01:40 num non-decayed parameter tensors: 5, with 1,920 parameters
Apr 18 15:01:41 using fused AdamW: True
Apr 18 15:01:41 compiling the model... (takes a ~minute)
Apr 18 15:02:11 step 0: train loss 4.2461, val loss 4.2432
Apr 18 15:02:14 iter 0: loss 4.2572, time 31337.07ms, mfu -100.00%
Apr 18 15:02:16 iter 10: loss 3.3124, time 199.28ms, mfu 0.63%
Apr 18 15:02:17 iter 20: loss 2.9172, time 198.53ms, mfu 0.63%
Apr 18 15:02:19 iter 30: loss 2.6764, time 199.06ms, mfu 0.63%
Apr 18 15:02:21 iter 40: loss 2.5730, time 199.67ms, mfu 0.63%
Apr 18 15:02:23 iter 50: loss 2.5320, time 199.11ms, mfu 0.63%
Apr 18 15:02:25 iter 60: loss 2.4963, time 199.25ms, mfu 0.63%
Apr 18 15:02:27 iter 70: loss 2.4941, time 199.19ms, mfu 0.63%
Apr 18 15:02:29 iter 80: loss 2.4953, time 199.05ms, mfu 0.63%
Apr 18 15:02:31 iter 90: loss 2.4832, time 199.22ms, mfu 0.63%
Apr 18 15:02:33 iter 100: loss 2.4664, time 199.72ms, mfu 0.63%
Apr 18 15:02:35 iter 110: loss 2.4632, time 199.97ms, mfu 0.63%
Apr 18 15:02:37 iter 120: loss 2.4678, time 199.34ms, mfu 0.63%
Apr 18 15:02:39 iter 130: loss 2.4163, time 199.42ms, mfu 0.63%
Apr 18 15:02:41 iter 140: loss 2.4282, time 200.31ms, mfu 0.63%
Apr 18 15:02:43 iter 150: loss 2.4289, time 199.36ms, mfu 0.63%
Apr 18 15:02:45 iter 160: loss 2.4065, time 199.49ms, mfu 0.63%
Apr 18 15:02:47 iter 170: loss 2.3891, time 199.98ms, mfu 0.63%
Apr 18 15:02:49 iter 180: loss 2.3398, time 199.85ms, mfu 0.63%
Apr 18 15:02:51 iter 190: loss 2.3078, time 199.50ms, mfu 0.63%
Apr 18 15:02:53 iter 200: loss 2.2826, time 199.44ms, mfu 0.63%
Apr 18 15:02:55 iter 210: loss 2.2328, time 199.75ms, mfu 0.63%
Apr 18 15:02:57 iter 220: loss 2.1769, time 200.04ms, mfu 0.62%
Apr 18 15:02:59 iter 230: loss 2.1133, time 200.26ms, mfu 0.62%
Apr 18 15:03:01 iter 240: loss 2.0962, time 199.99ms, mfu 0.62%
Apr 18 15:03:32 step 250: train loss 1.9831, val loss 2.0985
Apr 18 15:03:32 saving checkpoint to out-shakespeare-n_layer2
Apr 18 15:03:32 iter 250: loss 2.0546, time 29572.88ms, mfu 0.56%
Apr 18 15:03:34 iter 260: loss 2.0571, time 200.55ms, mfu 0.57%
Apr 18 15:03:36 iter 270: loss 2.0213, time 200.32ms, mfu 0.57%
Apr 18 15:03:38 iter 280: loss 2.0055, time 200.33ms, mfu 0.58%
Apr 18 15:03:40 iter 290: loss 1.9800, time 199.83ms, mfu 0.58%
Apr 18 15:03:42 iter 300: loss 1.9193, time 199.84ms, mfu 0.59%
Apr 18 15:03:44 iter 310: loss 1.9182, time 199.76ms, mfu 0.59%
Apr 18 15:03:46 iter 320: loss 1.8653, time 199.35ms, mfu 0.59%
Apr 18 15:03:48 iter 330: loss 1.8603, time 200.19ms, mfu 0.60%
Apr 18 15:03:50 iter 340: loss 1.8470, time 199.64ms, mfu 0.60%
Apr 18 15:03:52 iter 350: loss 1.8194, time 199.84ms, mfu 0.60%
Apr 18 15:03:54 iter 360: loss 1.8428, time 199.93ms, mfu 0.60%
Apr 18 15:03:56 iter 370: loss 1.7926, time 199.82ms, mfu 0.61%
Apr 18 15:03:58 iter 380: loss 1.7843, time 199.25ms, mfu 0.61%
Apr 18 15:04:00 iter 390: loss 1.8109, time 199.77ms, mfu 0.61%
Apr 18 15:04:02 iter 400: loss 1.7941, time 199.77ms, mfu 0.61%
Apr 18 15:04:04 iter 410: loss 1.7709, time 199.50ms, mfu 0.61%
Apr 18 15:04:06 iter 420: loss 1.7251, time 200.21ms, mfu 0.61%
Apr 18 15:04:08 iter 430: loss 1.7198, time 200.46ms, mfu 0.61%
Apr 18 15:04:10 iter 440: loss 1.7266, time 200.29ms, mfu 0.62%
Apr 18 15:04:12 iter 450: loss 1.6890, time 200.00ms, mfu 0.62%
Apr 18 15:04:14 iter 460: loss 1.6991, time 199.74ms, mfu 0.62%
Apr 18 15:04:16 iter 470: loss 1.6657, time 199.56ms, mfu 0.62%
Apr 18 15:04:18 iter 480: loss 1.6958, time 199.64ms, mfu 0.62%
Apr 18 15:04:20 iter 490: loss 1.6837, time 199.66ms, mfu 0.62%
Apr 18 15:04:51 step 500: train loss 1.5706, val loss 1.7646
Apr 18 15:04:51 saving checkpoint to out-shakespeare-n_layer2
Apr 18 15:04:51 iter 500: loss 1.6799, time 29553.55ms, mfu 0.56%
Apr 18 15:04:53 iter 510: loss 1.6665, time 200.28ms, mfu 0.56%
Apr 18 15:04:55 iter 520: loss 1.6608, time 199.63ms, mfu 0.57%
Apr 18 15:04:57 iter 530: loss 1.6205, time 199.83ms, mfu 0.58%
Apr 18 15:04:59 iter 540: loss 1.6855, time 199.29ms, mfu 0.58%
Apr 18 15:05:01 iter 550: loss 1.5993, time 200.14ms, mfu 0.59%
Apr 18 15:05:03 iter 560: loss 1.6429, time 199.75ms, mfu 0.59%
Apr 18 15:05:05 iter 570: loss 1.6214, time 199.50ms, mfu 0.59%
Apr 18 15:05:07 iter 580: loss 1.6420, time 199.97ms, mfu 0.60%
Apr 18 15:05:09 iter 590: loss 1.6003, time 199.96ms, mfu 0.60%
Apr 18 15:05:11 iter 600: loss 1.6111, time 199.28ms, mfu 0.60%
Apr 18 15:05:13 iter 610: loss 1.6416, time 199.07ms, mfu 0.60%
Apr 18 15:05:15 iter 620: loss 1.5934, time 200.03ms, mfu 0.61%
Apr 18 15:05:17 iter 630: loss 1.5819, time 199.50ms, mfu 0.61%
Apr 18 15:05:19 iter 640: loss 1.5988, time 199.36ms, mfu 0.61%
Apr 18 15:05:21 iter 650: loss 1.5808, time 199.99ms, mfu 0.61%
Apr 18 15:05:23 iter 660: loss 1.5673, time 199.82ms, mfu 0.61%
Apr 18 15:05:25 iter 670: loss 1.5859, time 199.33ms, mfu 0.61%
Apr 18 15:05:27 iter 680: loss 1.6040, time 199.65ms, mfu 0.61%
Apr 18 15:05:29 iter 690: loss 1.5779, time 199.53ms, mfu 0.62%
Apr 18 15:05:31 iter 700: loss 1.5857, time 199.98ms, mfu 0.62%
Apr 18 15:05:33 iter 710: loss 1.5701, time 199.18ms, mfu 0.62%
Apr 18 15:05:35 iter 720: loss 1.5483, time 199.38ms, mfu 0.62%
Apr 18 15:05:37 iter 730: loss 1.5673, time 200.03ms, mfu 0.62%
Apr 18 15:05:39 iter 740: loss 1.5536, time 199.32ms, mfu 0.62%
Apr 18 15:06:09 step 750: train loss 1.4363, val loss 1.6618
Apr 18 15:06:09 saving checkpoint to out-shakespeare-n_layer2
Apr 18 15:06:09 iter 750: loss 1.5271, time 29508.02ms, mfu 0.56%
Apr 18 15:06:11 iter 760: loss 1.5681, time 199.90ms, mfu 0.56%
Apr 18 15:06:13 iter 770: loss 1.5366, time 199.59ms, mfu 0.57%
Apr 18 15:06:15 iter 780: loss 1.5551, time 199.38ms, mfu 0.58%
Apr 18 15:06:17 iter 790: loss 1.5573, time 199.79ms, mfu 0.58%
Apr 18 15:06:19 iter 800: loss 1.5496, time 199.37ms, mfu 0.59%
Apr 18 15:06:21 iter 810: loss 1.5308, time 199.13ms, mfu 0.59%
Apr 18 15:06:23 iter 820: loss 1.5464, time 200.11ms, mfu 0.59%
Apr 18 15:06:25 iter 830: loss 1.5215, time 199.51ms, mfu 0.60%
Apr 18 15:06:27 iter 840: loss 1.5085, time 199.36ms, mfu 0.60%
Apr 18 15:06:29 iter 850: loss 1.5344, time 199.36ms, mfu 0.60%
Apr 18 15:06:31 iter 860: loss 1.5055, time 199.33ms, mfu 0.60%
Apr 18 15:06:33 iter 870: loss 1.5128, time 199.61ms, mfu 0.61%
Apr 18 15:06:35 iter 880: loss 1.5175, time 199.03ms, mfu 0.61%
Apr 18 15:06:37 iter 890: loss 1.5141, time 199.55ms, mfu 0.61%
Apr 18 15:06:39 iter 900: loss 1.4829, time 199.71ms, mfu 0.61%
Apr 18 15:06:41 iter 910: loss 1.5082, time 199.26ms, mfu 0.61%
